date,Open,High,Low,Adj Close,Volume
2020-04-21 13:50:00,115.84,116.07,115.712,115.91,182962.0
2020-04-21 13:45:00,115.88,115.96,115.67,115.8592,46316.0
2020-04-21 13:40:00,115.775,116.4,115.7335,115.88,120745.0
2020-04-21 13:35:00,115.77,116.02,115.7,115.79,114915.0
2020-04-21 13:30:00,115.72,115.8099,115.6,115.7813,80180.0
2020-04-21 13:25:00,115.86,116.0,115.74,115.74,67862.0
2020-04-21 13:20:00,115.64,116.0,115.5,115.85,72142.0
2020-04-21 13:15:00,115.66,115.69,115.18,115.625,95650.0
2020-04-21 13:10:00,116.015,116.42,115.62,115.655,164345.0
2020-04-21 13:05:00,115.56,116.12,115.51,116.015,122821.0
2020-04-21 13:00:00,115.46,115.61,115.2,115.54,82895.0
2020-04-21 12:55:00,115.0,115.49,114.97,115.45,147312.0
2020-04-21 12:50:00,114.81,115.04,114.65,114.9941,128066.0
2020-04-21 12:45:00,114.62,114.84,114.53,114.81,69966.0
2020-04-21 12:40:00,114.49,114.88,114.45,114.61,114048.0
2020-04-21 12:35:00,114.49,114.6299,114.2301,114.47,93764.0
2020-04-21 12:30:00,113.83,114.5481,113.8,114.49,159522.0
2020-04-21 12:25:00,113.5982,113.96,113.5982,113.81,134036.0
2020-04-21 12:20:00,113.2,113.745,113.2,113.64,146293.0
2020-04-21 12:15:00,113.3,113.45,113.1,113.2,96707.0
2020-04-21 12:10:00,112.89,113.3661,112.87,113.3,50228.0
2020-04-21 12:05:00,113.16,113.23,112.8501,112.87,73651.0
2020-04-21 12:00:00,113.17,113.64,113.0365,113.15,93133.0
2020-04-21 11:55:00,112.95,113.22,112.8062,113.17,77639.0
2020-04-21 11:50:00,112.77,113.05,112.7401,112.96,66844.0
2020-04-21 11:45:00,113.02,113.02,112.71,112.81,57908.0
2020-04-21 11:40:00,112.98,113.159,112.65,113.07,88657.0
2020-04-21 11:35:00,112.85,113.4841,112.84,113.0,77648.0
2020-04-21 11:30:00,113.19,113.48,112.73,112.855,87513.0
2020-04-21 11:25:00,113.44,113.6299,113.1,113.18,78608.0
2020-04-21 11:20:00,113.1,113.3899,112.87,113.08,78133.0
2020-04-21 11:15:00,113.11,113.44,112.9401,113.11,98290.0
2020-04-21 11:10:00,113.28,113.6499,113.03,113.1703,95733.0
2020-04-21 11:05:00,113.66,113.67,113.17,113.25,98506.0
2020-04-21 11:00:00,113.58,113.94,113.55,113.6536,106179.0
2020-04-21 10:55:00,113.77,114.06,113.53,113.56,118360.0
2020-04-21 10:50:00,114.26,114.6,113.675,113.75,98158.0
2020-04-21 10:45:00,114.33,114.3499,114.08,114.25,59173.0
2020-04-21 10:40:00,114.69,114.78,114.12,114.27,90547.0
2020-04-21 10:35:00,114.855,115.0099,114.52,114.67,82285.0
2020-04-21 10:30:00,115.09,115.39,114.53,114.86,116999.0
2020-04-21 10:25:00,114.38,115.16,114.22,115.12,141732.0
2020-04-21 10:20:00,114.44,114.6399,113.9,114.3899,225276.0
2020-04-21 10:15:00,114.92,115.49,114.34,114.4352,157480.0
2020-04-21 10:10:00,115.48,115.635,114.88,114.9454,191527.0
2020-04-21 10:05:00,115.12,115.67,114.722,115.48,263642.0
2020-04-21 10:00:00,114.59,115.2,114.4,115.07,325504.0
2020-04-21 09:55:00,114.35,115.24,113.89,114.59,365715.0
2020-04-21 09:50:00,113.63,114.76,113.38,114.2903,424739.0
2020-04-21 09:45:00,113.1064,113.8,112.9001,113.64,537340.0
2020-04-21 09:40:00,112.6,113.6,112.06,113.16,482526.0
